Date;Produit_ID;Categorie_Produit;Region_Production;Region_Vente;Zone_Agroeco;Saisonnalite_Sin;Saisonnalite_Cos;Superficie_Cultivee_ha;Demographie_Vente;Pluie_Lag;Temperature_Moy;Pertes_PostRecolte_Pct;Prix_Intrants;Indice_Carburant;Accessibilite_Route;Cout_Transport;Taux_Naira;Inflation_Mensuelle_Pct;Restrictions_Import;Stocks_Retenus;Choc_Demande;Choc_Securitaire;Choc_Frontiere;Choc_Sanitaire;Choc_Economique;Prix_T-1;Prix_Vente_FCFA_kg
2015-01;Maïs;Céréales;Ouest;Centre;Hauts Plateaux;0.5;0.866;57589;2722904;10.5;23.0;9.6;85;600;4;45;3.0;0.2;0;0;1;0;0;0;0;165;160
2015-01;Riz;Céréales;Extrême-Nord;Centre;Soudano-sahélienne;0.5;0.866;25000;2722904;0.0;30.5;5.0;125;600;3;85;3.0;0.2;0;0;1;1;1;0;0;380;375
2015-01;Mil-Sorgho;Céréales;Nord;Extrême-Nord;Soudano-sahélienne;0.5;0.866;55000;3993000;0.0;32.0;12.5;70;600;3;35;3.0;0.2;0;0;1;1;1;0;0;170;175
2015-01;Blé;Céréales;Littoral(Import);Centre;Forêt monomodale;0.5;0.866;0;2722904;25.0;27.0;2.0;0;600;4;25;3.0;0.2;1;0;1;0;0;0;0;330;340
2015-01;Manioc;"Tubercules, Racines et Plantains";Centre;Centre;Forêt bimodale;0.5;0.866;115000;2722904;15.0;25.0;30.5;50;600;3;20;3.0;0.2;0;0;1;0;0;0;0;95;105
2015-01;Plantain;"Tubercules, Racines et Plantains";Sud-Ouest;Littoral;Forêt monomodale;0.5;0.866;35000;2800000;35.0;26.5;25.0;75;600;3;65;3.0;0.2;0;0;1;0;0;0;0;210;225
2015-01;Macabo-Taro;"Tubercules, Racines et Plantains";Littoral;Littoral;Forêt monomodale;0.5;0.866;18000;2800000;35.0;26.5;28.5;65;600;3;25;3.0;0.2;0;0;1;0;0;0;0;150;160
2015-01;Igname;"Tubercules, Racines et Plantains";Adamaoua;Centre;Savane guinéenne;0.5;0.866;21000;2722904;0.0;24.0;26.0;110;600;3;75;3.0;0.2;0;0;1;0;0;0;0;310;330
2015-01;Pomme de terre;"Tubercules, Racines et Plantains";Ouest;Littoral;Hauts Plateaux;0.5;0.866;15000;2800000;10.5;23.0;21.0;115;600;4;50;3.0;0.2;0;0;1;0;0;0;0;350;370
2015-01;Patate douce;"Tubercules, Racines et Plantains";Ouest;Centre;Hauts Plateaux;0.5;0.866;8000;2722904;10.5;23.0;23.0;65;600;4;45;3.0;0.2;0;0;1;0;0;0;0;140;150
