date,produit,prix_usd_tonne,stabilite_politique,politique_commerciale,subventions_agricoles,pib_mondial_growth,inflation_us,taux_change_usd_eur,demande_mondiale,croissance_population,urbanisation_pct,revenu_moyen,investissement_agritech,rendement_agricole_index,adoption_irrigation,anomalie_temperature,precipitations_index,superficie_cultivee_mha,indice_secheresse,reglementation_export,normes_phytosanitaires,accord_commerce_international
2020-01,Cacao,2382.71,4.91,3.89,6.35,1.96,1.9,1.1066,5.87,1.09,55.03,12046.0,4.58,100.98,40.33,-0.59,89.85,12.12,5.34,5.04,5.96,4.64
2020-01,Café,1669.18,4.84,4.49,6.44,1.93,2.65,1.105,6.39,1.04,55.17,11697.0,2.69,99.09,37.25,0.7,106.64,9.39,5.11,4.0,5.97,3.65
2020-01,Maïs,281.6,5.41,4.64,6.17,2.19,2.69,1.0875,5.64,1.08,55.15,11950.0,5.17,98.77,36.7,0.61,114.22,197.25,5.1,6.43,5.96,2.29
2020-01,Soja,408.83,5.48,2.56,6.02,2.08,2.37,1.1145,6.29,1.22,55.19,11878.0,3.72,98.75,42.86,-0.45,99.3,127.37,4.32,4.71,5.26,2.7
2020-01,Coton,82.59,5.21,5.19,5.99,2.08,2.57,1.1217,6.45,1.11,54.7,12181.0,4.19,101.84,39.91,1.56,96.41,33.8,4.74,4.48,5.55,3.82
2020-01,Cacao,2621.41,5.48,4.69,4.81,2.31,2.77,1.0973,5.75,1.1,55.6,11939.0,3.85,102.84,39.16,-0.28,102.97,11.38,4.84,3.79,6.39,4.0
2020-01,Café,2032.24,5.22,5.37,5.35,2.06,2.68,1.1432,5.23,1.15,55.26,12457.0,4.42,100.88,38.94,-0.99,103.95,9.9,5.74,4.39,6.16,2.12
2020-01,Maïs,279.57,5.21,4.82,6.72,2.09,2.1,1.1175,6.33,1.12,54.87,12377.0,4.11,101.85,44.32,0.5,104.86,198.08,4.86,4.7,6.08,5.78
2020-01,Soja,430.78,5.33,5.2,5.74,1.58,2.67,1.1129,5.76,1.14,55.27,11951.0,4.33,100.51,36.05,0.37,101.54,126.63,5.0,5.49,5.8,4.48
2020-01,Coton,90.65,4.72,4.38,6.0,2.78,1.81,1.1222,5.91,1.09,55.65,12148.0,5.19,100.14,41.55,-0.38,95.09,33.03,4.59,5.2,5.19,6.4
2020-03,Cacao,2479.82,6.02,2.99,6.15,3.15,2.25,1.0867,5.86,1.12,55.37,12558.0,4.0,99.2,39.69,1.01,108.63,11.02,4.76,6.4,6.92,4.67
2020-03,Café,1879.89,4.53,3.16,6.02,2.35,2.83,1.107,5.56,1.06,54.82,12429.0,2.98,101.1,42.35,1.23,104.69,10.5,4.58,4.26,5.8,5.83
2020-03,Maïs,303.95,5.39,7.33,5.98,2.39,2.72,1.1122,7.29,1.18,54.75,12220.0,4.35,102.77,36.95,-1.79,84.91,196.96,4.73,5.35,5.76,2.53
2020-03,Soja,393.83,5.31,4.37,6.5,2.44,2.52,1.1436,6.07,1.07,55.01,12183.0,3.05,101.83,41.75,-0.27,96.83,127.19,5.64,5.04,5.86,3.29
2020-03,Coton,87.32,4.52,3.87,6.03,2.75,2.98,1.1373,5.78,1.13,54.82,12362.0,4.34,100.45,47.0,0.47,84.95,33.28,4.58,5.0,6.25,4.47
2020-03,Cacao,2301.34,4.64,4.77,6.65,2.87,3.37,1.0836,6.58,1.0,55.73,12501.0,3.63,105.41,43.43,-1.49,108.85,11.63,4.88,4.53,6.65,2.29
2020-03,Café,1903.31,6.13,3.17,6.11,2.36,2.37,1.1377,6.25,1.05,55.78,12608.0,4.12,101.44,39.15,1.01,104.45,10.23,4.73,5.62,6.05,4.92
2020-03,Maïs,292.0,5.64,4.67,5.94,2.04,2.27,1.1099,5.71,1.14,55.24,12764.0,5.34,102.44,36.86,-0.28,105.16,196.26,4.7,5.29,5.92,3.08
2020-03,Soja,427.84,6.12,3.84,5.59,2.19,3.03,1.111,6.44,1.14,55.47,12730.0,3.92,104.1,39.12,-0.29,117.87,127.41,4.83,3.81,6.32,3.24
2020-03,Coton,84.84,4.9,4.25,4.94,2.41,2.72,1.113,6.72,1.13,55.07,12316.0,4.55,100.13,40.5,-0.48,106.61,33.11,4.84,6.13,6.19,3.62
2020-04,Cacao,2442.25,5.66,4.53,6.73,2.17,2.71,1.1315,6.22,1.1,54.82,12765.0,4.59,104.9,48.75,-0.22,107.43,12.0,5.84,3.27,6.33,2.24
2020-04,Café,1661.32,4.29,2.62,6.53,2.13,2.61,1.1094,6.57,1.04,55.73,12401.0,3.88,103.38,42.07,1.17,108.99,9.4,4.58,4.43,6.42,4.46
2020-04,Maïs,296.87,5.73,3.47,5.93,2.45,3.31,1.1307,6.09,1.05,55.54,12482.0,4.44,100.35,45.13,-1.03,100.01,197.53,4.2,4.92,6.16,2.8
2020-04,Soja,478.61,6.05,2.03,5.28,2.64,2.18,1.1249,6.33,1.13,55.27,12619.0,3.88,105.14,40.51,0.31,102.67,127.05,4.78,4.84,5.73,4.96
